Daily Time Spent on Site,Age,Area Income,Daily Internet Usage,Clicked on Ad
58.04,47,59532.57,135.87,1
78.52,34,63636.02,158.03,0
78.83,39,72228.3,145.58,1
61.76,34,51276.27,183.82,0
83.77,35,54870.31,227.97,0
65.54,39,64616.85,210.72,1
80.89,43,67256.96,241.38,0
71.71,46,61230.37,298.83,0
57.91,43,48030.58,187.17,0
50.97,27,53393.12,317.97,1
62.86,26,54244.58,152.08,0
78.61,18,50611.71,215.14,1
81.94,24,69900.67,300.11,1
75.29,36,40931.18,218.07,1
63.0,25,70568.43,147.66,1
62.47,35,40172.94,267.88,0
87.81,30,74619.38,247.31,1
63.18,40,80818.1,137.22,1
54.76,26,68175.28,181.23,0
65.31,29,74074.22,285.5,1
53.7,48,14482.84,143.93,0
89.39,24,82916.46,226.76,1
68.16,39,68111.71,271.99,0
70.88,22,107895.36,199.2,1
39.6,18,72587.89,135.75,0
74.32,31,55458.89,224.54,0
91.66,33,53715.64,115.71,1
60.93,32,85828.73,291.23,1
65.64,46,61233.01,303.96,0
47.96,28,77896.13,296.78,1
77.16,45,70294.37,267.9,1
51.39,28,57875.05,165.39,0
58.03,48,80581.03,245.65,0
81.42,31,54916.28,170.67,0
93.94,34,51921.45,210.34,0
77.39,46,67280.03,218.37,0
65.73,38,33290.03,152.66,1
60.48,37,69180.59,157.33,0
78.67,38,41632.09,193.36,0
70.88,42,65966.78,254.96,1
90.66,56,60406.43,171.23,1
51.85,30,76807.79,246.44,0
56.35,52,54534.12,134.64,0
79.9,39,35409.2,175.67,0
59.89,45,86739.64,278.09,0
63.88,33,39179.31,174.21,1
94.42,31,36821.36,219.21,0
73.92,23,64399.94,268.68,1
77.02,27,54071.2,145.61,1
67.93,32,63179.79,258.91,1
57.17,31,52393.59,118.81,1
113.92,36,77404.37,166.32,1
80.21,28,84289.5,211.65,1
66.05,50,57295.26,166.23,1
92.65,30,63816.14,134.25,1
47.86,20,55549.71,145.1,1
71.22,19,84717.02,243.19,1
64.01,37,93708.9,230.67,0
90.55,27,46323.06,146.43,0
59.76,23,79673.98,161.41,1
63.12,44,68609.88,165.76,0
50.05,44,40787.93,203.52,0
50.7,29,61650.95,175.29,1
89.72,50,40326.85,158.29,1
78.7,40,50059.29,183.23,0
60.83,38,51160.29,132.44,0
74.07,18,45820.54,259.64,0
91.76,22,47991.36,130.27,1
63.68,53,61703.02,251.26,0
76.36,20,69013.62,198.98,0
60.18,36,63380.72,225.22,1
84.44,19,44775.94,195.94,1
45.1,39,50842.44,170.28,0
60.25,51,71877.06,183.21,0
64.25,38,73884.37,123.55,1
39.13,30,43521.2,261.4,0
70.55,18,73009.47,230.9,0
62.14,52,55694.28,132.98,0
58.63,60,20320.67,111.61,1
47.72,31,73231.44,136.51,1
90.69,22,43007.74,299.89,0
60.73,26,62665.4,171.55,0
82.4,36,61455.54,179.69,1
91.28,36,60001.09,199.28,1
76.24,27,67698.48,219.49,0
92.23,34,64713.26,215.29,0
85.24,48,61363.23,187.67,0
75.76,50,55649.42,230.58,1
88.69,36,82941.48,146.04,1
71.93,29,81386.1,199.19,0
44.07,48,61548.95,241.5,0
61.24,41,63624.57,184.23,0
93.49,48,61197.67,207.65,0
70.98,57,62714.94,181.39,1
85.88,34,74236.34,248.58,0
51.66,18,61875.77,154.02,0
46.89,33,61367.77,255.28,0
96.72,19,67271.02,208.58,0
87.12,30,54773.32,226.45,1
63.82,53,70589.05,153.4,1
