Daily Time Spent on Site,Age,Area Income,Daily Internet Usage,Clicked on Ad,Ad Topic Line,City,Male,Country,Timestamp
65.79,18,49495.1,225.54,1,Reactive,New York,1,UK,2016-01-04 16:02:24.723618090
63.37,24,32052.47,246.3,1,Triple-buffered,Chicago,0,India,2016-01-04 16:02:24.723618090
69.48,30,79932.44,156.97,0,Configurable,New York,0,Australia,2016-01-04 16:02:24.723618090
78.2,23,66842.16,207.49,0,Reactive,Houston,1,India,2016-01-04 16:02:24.723618090
59.46,30,33758.02,297.78,0,Reactive,Los Angeles,0,Canada,2016-01-04 16:02:24.723618090
89.47,38,107848.93,212.38,0,Triple-buffered,New York,0,India,2016-01-04 16:02:24.723618090
66.07,34,94463.59,221.61,1,Optimized,Houston,0,UK,2016-01-04 16:02:24.723618090
59.02,29,42449.81,208.21,0,Reactive,Chicago,1,UK,2016-01-04 16:02:24.723618090
84.02,20,56851.21,69.53,1,Reactive,Phoenix,1,Australia,2016-01-04 16:02:24.723618090
77.15,27,50026.8,194.46,1,Optimized,Phoenix,0,USA,2016-01-04 16:02:24.723618090
62.23,18,63820.36,228.26,0,Configurable,Chicago,0,UK,2016-01-04 16:02:24.723618090
53.99,27,65520.69,221.85,1,Triple-buffered,New York,1,Canada,2016-01-04 16:02:24.723618090
75.14,39,79989.35,215.2,0,Configurable,New York,1,UK,2016-01-04 16:02:24.723618090
54.28,35,73100.78,240.78,0,Sharable,New York,1,USA,2016-01-04 16:02:24.723618090
81.53,39,57822.51,173.94,1,Optimized,Houston,0,USA,2016-01-04 16:02:24.723618090
68.77,35,48391.48,214.37,1,Sharable,Phoenix,0,USA,2016-01-04 16:02:24.723618090
43.93,68,89061.01,122.39,1,Reactive,Chicago,1,Canada,2016-01-04 16:02:24.723618090
57.29,33,51757.35,270.91,0,Configurable,Los Angeles,1,Australia,2016-01-04 16:02:24.723618090
58.97,18,74519.51,185.03,0,Configurable,Los Angeles,0,Canada,2016-01-04 16:02:24.723618090
61.84,45,86175.3,156.06,0,Triple-buffered,Houston,0,Canada,2016-01-04 16:02:24.723618090
87.33,19,62757.83,202.91,1,Reactive,Houston,1,Canada,2016-01-04 16:02:24.723618090
79.64,30,49225.5,231.25,0,Triple-buffered,New York,0,Canada,2016-01-04 16:02:24.723618090
80.24,39,57882.22,174.69,0,Optimized,Phoenix,1,USA,2016-01-04 16:02:24.723618090
70.62,41,49014.45,241.43,0,Configurable,Chicago,0,UK,2016-01-04 16:02:24.723618090
91.81,43,59612.71,195.84,0,Sharable,Chicago,1,India,2016-01-04 16:02:24.723618090
65.12,39,67756.25,201.84,0,Optimized,Los Angeles,1,India,2016-01-04 16:02:24.723618090
86.72,47,72105.32,212.72,0,Optimized,Chicago,0,UK,2016-01-04 16:02:24.723618090
46.99,23,58154.63,224.38,0,Reactive,New York,1,Canada,2016-01-04 16:02:24.723618090
68.53,45,42586.37,188.47,0,Triple-buffered,Los Angeles,0,UK,2016-01-04 16:02:24.723618090
72.99,35,50681.71,272.53,1,Sharable,Houston,0,UK,2016-01-04 16:02:24.723618090
90.84,40,43071.14,239.39,1,Triple-buffered,Houston,0,Canada,2016-01-04 16:02:24.723618090
40.07,42,43662.98,323.11,1,Configurable,New York,0,India,2016-01-04 16:02:24.723618090
65.98,36,34273.77,269.36,0,Sharable,Houston,1,India,2016-01-04 16:02:24.723618090
41.75,50,62073.93,230.26,1,Triple-buffered,Houston,1,India,2016-01-04 16:02:24.723618090
84.08,47,59604.14,120.07,0,Configurable,New York,1,Canada,2016-01-04 16:02:24.723618090
55.3,48,61763.15,210.54,0,Triple-buffered,Chicago,1,Canada,2016-01-04 16:02:24.723618090
51.74,38,74992.31,218.37,0,Optimized,Los Angeles,1,Canada,2016-01-04 16:02:24.723618090
73.54,43,23623.74,207.81,0,Sharable,Phoenix,0,India,2016-01-04 16:02:24.723618090
73.65,32,68584.87,109.49,1,Configurable,New York,0,India,2016-01-04 16:02:24.723618090
81.73,24,50830.84,252.93,1,Sharable,Phoenix,0,UK,2016-01-04 16:02:24.723618090
75.52,45,65942.35,234.89,1,Configurable,Houston,1,India,2016-01-04 16:02:24.723618090
68.81,39,54068.46,158.37,0,Triple-buffered,New York,1,Canada,2016-01-04 16:02:24.723618090
62.19,26,29741.51,170.91,1,Configurable,Los Angeles,0,UK,2016-01-04 16:02:24.723618090
51.24,32,63870.75,230.48,1,Triple-buffered,Houston,0,UK,2016-01-04 16:02:24.723618090
52.7,20,72528.54,142.85,1,Sharable,Phoenix,0,USA,2016-01-04 16:02:24.723618090
75.41,34,71712.94,105.38,0,Triple-buffered,Phoenix,0,USA,2016-01-04 16:02:24.723618090
